City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Trinidad,BO,82.38,scattered clouds,-14.8333,-64.9,Hotel Piesta
198,Boyolangu,ID,76.95,overcast clouds,-8.1181,111.8935,Yos ega cv
204,Caravelas,BR,81.14,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
205,Vao,NC,79.88,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
206,Black River,JM,80.98,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
208,Ouesso,CG,92.68,overcast clouds,1.6136,16.0517,ABENIE Hotel
209,Cidreira,BR,77.92,overcast clouds,-30.1811,-50.2056,Hotel Castelo
210,Padang,ID,76.06,light rain,-0.9492,100.3543,Mercure Padang
211,Maroantsetra,MG,83.43,overcast clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
212,Inongo,CD,80.04,light rain,-1.95,18.2667,Hotel Du Lac
214,Sibolga,ID,76.64,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
216,Saint-Philippe,RE,81.99,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
225,Bandarbeyla,SO,77.63,clear sky,9.4942,50.8122,JABIR HOTEL
226,El Tigre,VE,81.32,scattered clouds,8.8875,-64.2454,Hotel Santa Cruz
229,Labuhan,ID,78.1,light rain,-6.8844,112.2051,DoubleFAG
230,Takoradi,GH,84.83,few clouds,4.8845,-1.7554,Raybow International Hotel
232,Ugoofaaru,MV,81.75,overcast clouds,5.6667,73.0,Ungoofaaru Inn
236,Bahir Dar,ET,77.95,broken clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
241,Yumbe,UG,87.93,overcast clouds,3.4651,31.2469,Antonio's Hotel
244,Ca Mau,VN,78.13,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
247,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
250,Namibe,AO,78.75,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
257,Hithadhoo,MV,82.35,scattered clouds,-0.6,73.0833,Scoop Guest House
269,Pilar,BR,87.73,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
270,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
274,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
277,Pamekasan,ID,78.44,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
280,Port-Gentil,GA,87.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
290,Saint-Joseph,RE,80.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
291,Meulaboh,ID,79.38,overcast clouds,4.1363,96.1285,Kost Pria
297,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
299,Tucurui,BR,85.42,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
300,Cairns,AU,78.06,light intensity shower rain,-16.9167,145.7667,Mantra Trilogy Cairns
304,Abu Dhabi,AE,77.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
306,Mackay,AU,80.58,scattered clouds,-21.15,149.2,International Lodge Motel
307,Watsa,CD,92.05,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
309,Mogadishu,SO,84.07,clear sky,2.0371,45.3438,Hotel Juba
311,Namatanai,PG,80.06,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
312,Alyangula,AU,82.27,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
315,Malakal,SS,94.75,overcast clouds,9.5334,31.6605,Nile Palace Hotel
320,Porto Novo,BJ,87.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
331,Benguela,AO,79.95,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
334,La Primavera,CO,89.1,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
335,San Carlos,VE,78.24,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
337,West Bay,KY,79.0,few clouds,19.3667,-81.4167,Calypso Cove
338,De Aar,ZA,81.79,scattered clouds,-30.6497,24.0123,Nyibiba Guesthouse
339,Pinheiro,BR,83.95,moderate rain,-2.5214,-45.0825,Solares Hotel
340,Bumba,CD,95.29,overcast clouds,2.1833,22.4667,Père Carlos
349,Pemba,MZ,84.9,drizzle,-12.974,40.5178,Guesthouse Samotina
350,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
352,Biak,ID,76.86,overcast clouds,-0.9131,122.8766,Penginapan Kim
355,Road Town,VG,78.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
357,Maine-Soroa,NE,80.8,clear sky,13.2114,12.0241,Complexe
359,Barra,BR,87.94,scattered clouds,-11.0894,-43.1417,Motel Albatroz
363,Lujan,AR,79.02,broken clouds,-34.5703,-59.105,Hotel Biarritz
369,Ribas Do Rio Pardo,BR,82.87,scattered clouds,-20.4431,-53.7592,Pousada Avenida
