City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Taltal,CL,-25.4,-70.4833,69.39,66,0,6.17,clear sky
144,Ponta Do Sol,PT,32.6667,-17.1,73.0,78,93,2.86,overcast clouds
145,Moron,AR,-34.6534,-58.6198,78.8,73,45,3.69,scattered clouds
146,Isla Vista,US,34.4133,-119.861,57.18,39,8,4.65,clear sky
147,Beloha,MG,-25.1667,45.05,85.03,49,2,20.2,clear sky
148,Saint Anthony,US,45.0205,-93.218,2.66,71,100,1.01,overcast clouds
149,Gogapur,IN,23.55,75.5167,62.33,24,0,7.74,clear sky
150,Port Alfred,ZA,-33.5906,26.891,70.18,73,100,11.36,light rain
151,Hasaki,JP,35.7333,140.8333,32.29,93,99,11.83,light snow
152,Taganak,PH,6.0833,118.3,78.94,79,90,7.94,overcast clouds
153,Shakhtinsk,KZ,49.71,72.5872,5.56,83,10,4.5,clear sky
154,Shenjiamen,CN,29.9576,122.298,42.22,62,6,9.08,clear sky
155,Puerto Escondido,MX,15.85,-97.0667,75.2,66,0,4.0,clear sky
156,Bell Ville,AR,-32.6259,-62.6887,71.67,80,100,10.85,overcast clouds
157,Mar Del Plata,AR,-38.0023,-57.5575,68.88,93,75,4.0,broken clouds
158,Brae,GB,60.3964,-1.353,39.11,65,100,34.49,overcast clouds
159,Takaungu,KE,-3.6837,39.8566,88.29,69,94,13.15,overcast clouds
160,Lima,PE,-12.0432,-77.0282,71.13,82,0,5.75,clear sky
161,Lebu,CL,-37.6167,-73.65,63.39,81,18,13.62,few clouds
162,Airai,TL,-8.9266,125.4092,61.34,91,100,1.81,light rain
163,Lavrentiya,RU,65.5833,-171.0,1.53,52,0,19.28,clear sky
164,Poum,NC,-20.2333,164.0167,81.32,85,100,16.17,moderate rain
165,Mangrol,IN,21.1167,70.1167,69.48,52,1,8.41,clear sky
166,Alberton,CA,46.8168,-64.0654,23.13,94,100,20.74,snow
167,Mount Isa,AU,-20.7333,139.5,76.77,31,55,9.22,broken clouds
168,Shelburne,CA,44.0787,-80.2041,6.13,89,14,6.13,few clouds
169,Avarua,CK,-21.2078,-159.775,78.85,83,20,8.05,few clouds
170,Tuatapere,NZ,-46.1333,167.6833,49.82,88,100,5.23,overcast clouds
171,Chokurdakh,RU,70.6333,147.9167,-29.99,100,35,2.33,scattered clouds
172,Bemidji,US,47.4736,-94.8803,-5.1,79,40,0.0,scattered clouds
173,Iqaluit,CA,63.7506,-68.5145,-13.27,64,100,11.5,light snow
174,Sinnamary,GF,5.3833,-52.95,78.62,88,100,10.89,light rain
175,Prainha,BR,-1.8,-53.48,79.32,83,100,4.18,moderate rain
176,Lyngseidet,NO,69.5763,20.2189,24.89,80,100,27.83,overcast clouds
177,Markala,ML,13.7021,-6.0659,90.14,7,1,10.6,clear sky
178,Vuktyl,RU,63.8567,57.3094,9.64,98,96,4.18,overcast clouds
179,Blagoyevo,RU,63.3667,47.9167,-1.39,100,62,2.62,broken clouds
180,Arman,RU,59.7,150.1667,-3.69,73,98,12.1,overcast clouds
181,Taupo,NZ,-38.6833,176.0833,62.24,90,96,3.89,overcast clouds
182,Buala,SB,-8.145,159.5921,80.26,83,100,6.71,overcast clouds
183,Micheweni,TZ,-4.9667,39.8333,83.48,73,97,15.75,overcast clouds
184,Kavieng,PG,-2.5744,150.7967,82.76,69,99,10.04,overcast clouds
185,Saint George,US,37.1041,-113.5841,32.34,48,0,4.0,clear sky
186,Svetlyy,RU,54.675,20.1347,38.97,99,100,10.96,overcast clouds
187,Santiago,CL,-33.4569,-70.6483,74.28,53,20,3.44,few clouds
188,Bayan,CN,46.0833,127.4,-13.85,100,21,4.45,few clouds
189,Mahebourg,MU,-20.4081,57.7,80.89,94,40,16.11,scattered clouds
190,Dalby,AU,-27.1833,151.2667,66.97,74,53,1.01,broken clouds
191,Diffa,NE,13.3154,12.6113,79.3,12,2,16.58,clear sky
192,Tingi,TZ,-11.3,35.0333,69.31,85,100,5.26,light rain
193,Anadyr,RU,64.75,177.4833,-6.81,74,0,9.98,clear sky
194,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,74,40,10.36,scattered clouds
195,Trinidad,BO,-14.8333,-64.9,82.38,78,40,10.36,scattered clouds
196,Batsfjord,NO,70.6345,29.7185,19.4,79,0,11.5,clear sky
197,Brovary,UA,50.5,30.7667,29.08,59,0,8.95,clear sky
198,Boyolangu,ID,-8.1181,111.8935,76.95,87,91,3.42,overcast clouds
199,Port Elizabeth,ZA,-33.918,25.5701,74.1,62,100,11.77,overcast clouds
200,Fortuna,US,40.5982,-124.1573,44.65,94,100,1.01,overcast clouds
201,Fairbanks,US,64.8378,-147.7164,1.74,66,100,3.44,overcast clouds
202,Gaozhou,CN,21.9392,110.8461,57.99,70,100,4.07,overcast clouds
203,Talnakh,RU,69.4865,88.3972,-2.79,96,99,8.16,overcast clouds
204,Caravelas,BR,-17.7125,-39.2481,81.14,70,100,2.89,overcast clouds
205,Vao,NC,-22.6667,167.4833,79.88,85,100,16.8,overcast clouds
206,Black River,JM,18.0264,-77.8487,80.98,73,0,3.56,clear sky
207,Iskateley,RU,67.6803,53.1512,-1.77,99,93,4.99,overcast clouds
208,Ouesso,CG,1.6136,16.0517,92.68,24,100,2.28,overcast clouds
209,Cidreira,BR,-30.1811,-50.2056,77.92,72,100,2.66,overcast clouds
210,Padang,ID,-0.9492,100.3543,76.06,94,100,2.35,light rain
211,Maroantsetra,MG,-15.4333,49.7333,83.43,69,100,5.17,overcast clouds
212,Inongo,CD,-1.95,18.2667,80.04,68,100,6.2,light rain
213,Ukiah,US,39.1502,-123.2078,49.03,79,2,3.4,clear sky
214,Sibolga,ID,1.7427,98.7792,76.64,87,100,2.3,overcast clouds
215,Tessalit,ML,20.1986,1.0114,78.6,7,0,16.53,clear sky
216,Saint-Philippe,RE,-21.3585,55.7679,81.99,88,100,26.82,moderate rain
217,Norman Wells,CA,65.282,-126.8329,-34.56,61,40,10.36,scattered clouds
218,Russell,US,32.3502,-85.1999,58.71,93,100,8.05,mist
219,Inyonga,TZ,-6.7167,32.0667,67.46,92,100,3.87,moderate rain
220,Katsuura,JP,35.1333,140.3,41.14,87,13,12.03,few clouds
221,Aljezur,PT,37.3191,-8.8033,60.28,51,100,3.85,light rain
222,Xinxiang,CN,35.3089,113.8672,33.48,41,84,5.26,broken clouds
223,Nantucket,US,41.2835,-70.0995,52.61,93,100,18.41,mist
224,San Patricio,US,28.017,-97.5169,30.61,58,33,19.75,scattered clouds
225,Bandarbeyla,SO,9.4942,50.8122,77.63,55,4,12.82,clear sky
226,El Tigre,VE,8.8875,-64.2454,81.32,50,30,13.33,scattered clouds
227,Kyren,RU,51.6828,102.1408,2.64,89,36,2.13,scattered clouds
228,Matamoros,MX,25.5333,-103.25,37.11,66,0,2.37,clear sky
